TargetName,HUGOSymbol,TargetGroup,AnalyteType,CodeClass,ProbePool,MinCount,MaxCount,MedianCount,GeomeanCount,NumberOfProbesIncluded,NumberOfProbesTotal,GeneID
VBP1,VBP1,All Targets,RNA,Endogenous,1,1,62,11,9.785253302,1,1,7411
GNAZ,GNAZ,All Targets,RNA,Endogenous,1,1,41,7,6.082578205,1,1,2781
SURF2,SURF2,All Targets,RNA,Endogenous,1,1,51,11,8.63130744,1,1,6835
SCUBE3,SCUBE3,All Targets,RNA,Endogenous,1,1,24,6,5.199444101,1,1,222663
PNPLA8,PNPLA8,All Targets,RNA,Endogenous,1,1,31,7,5.971120483,1,1,50640
DQX1,DQX1,All Targets,RNA,Endogenous,1,1,45,9,9.014714575,1,1,165545
SCARB2,SCARB2,All Targets,RNA,Endogenous,1,1,140,16,14.98385138,1,1,950
SSR2,SSR2,All Targets,RNA,Endogenous,1,1,89,23,19.96021613,1,1,6746
CLOCK,CLOCK,All Targets,RNA,Endogenous,1,1,58,11,10.14983071,1,1,9575
CDH23,CDH23,All Targets,RNA,Endogenous,1,1,37,7,6.350966407,1,1,64072
PLAAT4,PLAAT4,All Targets,RNA,Endogenous,1,1,391,33,33.47662924,1,1,5920
TLR9,TLR9,All Targets,RNA,Endogenous,1,1,69,16,12.94525468,1,1,54106
PHLDB1,PHLDB1,All Targets,RNA,Endogenous,1,1,38,9,7.095567398,1,1,23187
LETM1,LETM1,All Targets,RNA,Endogenous,1,1,81,17,13.10876492,1,1,3954
FANCC,FANCC,All Targets,RNA,Endogenous,1,1,89,24,19.18878761,1,1,2176
S100A14,S100A14,All Targets,RNA,Endogenous,1,1,90,11,11.18930065,1,1,57402
SH2B3,SH2B3,All Targets,RNA,Endogenous,1,1,58,14,11.84452712,1,1,10019
TACR1,TACR1,All Targets,RNA,Endogenous,1,1,41,10,8.250400181,1,1,6869
SOD1,SOD1,All Targets,RNA,Endogenous,1,2,191,32,31.13803315,1,1,6647
EGLN3,EGLN3,All Targets,RNA,Endogenous,1,1,42,9,7.130272503,1,1,112399
H3C6,H3C6,All Targets,RNA,Endogenous,1,1,41,9,7.343492461,1,1,8353
DHRS7,DHRS7,All Targets,RNA,Endogenous,1,1,88,17,14.18364746,1,1,51635
QRFPR,QRFPR,All Targets,RNA,Endogenous,1,1,30,7,5.33286383,1,1,84109
C1QC,C1QC,All Targets,RNA,Endogenous,1,1,30,7,6.147684788,1,1,714
TRIM49D2,"TRIM49D1,TRIM48,TRIM49D2",All Targets,RNA,Endogenous,1,1,73,17,14.31199481,1,1,729384
IQCB1,IQCB1,All Targets,RNA,Endogenous,1,1,20,5,4.291046311,1,1,9657
APOC2,"APOC4-APOC2,APOC2",All Targets,RNA,Endogenous,1,1,21,4,3.630022999,1,1,344
SPOUT1,SPOUT1,All Targets,RNA,Endogenous,1,1,52,12,9.765516784,1,1,51490
CCDC174,CCDC174,All Targets,RNA,Endogenous,1,1,38,9,7.573090545,1,1,51244
PRDX2,PRDX2,All Targets,RNA,Endogenous,1,3,369,64,57.6948414,1,1,7001
ZNF34,ZNF34,All Targets,RNA,Endogenous,1,1,30,6,5.309595874,1,1,80778
C19orf38,C19orf38,All Targets,RNA,Endogenous,1,1,45,7,6.932426429,1,1,255809
ALKBH1,ALKBH1,All Targets,RNA,Endogenous,1,1,41,8,6.702264649,1,1,8846
SUFU,SUFU,All Targets,RNA,Endogenous,1,1,60,13,10.44812925,1,1,51684
TBL2,TBL2,All Targets,RNA,Endogenous,1,1,32,8,6.176989245,1,1,26608
SOWAHD,SOWAHD,All Targets,RNA,Endogenous,1,1,39,7,6.271548784,1,1,347454
CNR2,CNR2,All Targets,RNA,Endogenous,1,1,33,7,5.733433999,1,1,1269
SRP68,SRP68,All Targets,RNA,Endogenous,1,1,171,32,28.51136103,1,1,6730
OR8K1,OR8K1,All Targets,RNA,Endogenous,1,1,31,6,5.775068966,1,1,390157
ZYG11B,ZYG11B,All Targets,RNA,Endogenous,1,1,38,8,6.81984746,1,1,79699
ANKRD60,ANKRD60,All Targets,RNA,Endogenous,1,1,25,7,5.444823941,1,1,140731
C2orf80,C2orf80,All Targets,RNA,Endogenous,1,1,30,7,5.875280478,1,1,389073
LRRC52,LRRC52,All Targets,RNA,Endogenous,1,1,36,9,8.12808907,1,1,440699
NACAD,NACAD,All Targets,RNA,Endogenous,1,1,19,5,4.127183599,1,1,23148
SLAMF6,SLAMF6,All Targets,RNA,Endogenous,1,1,138,12,13.0527173,1,1,114836
RAB11FIP1,RAB11FIP1,All Targets,RNA,Endogenous,1,1,163,25,20.52252651,1,1,80223
POLR3E,POLR3E,All Targets,RNA,Endogenous,1,1,57,13,11.45732822,1,1,55718
AOC1,AOC1,All Targets,RNA,Endogenous,1,1,26,6,5.567857758,1,1,26
PSMC5,PSMC5,All Targets,RNA,Endogenous,1,1,112,25,19.18186743,1,1,5705
C2CD4A,C2CD4A,All Targets,RNA,Endogenous,1,1,42,9,6.626119587,1,1,145741
INTS4,INTS4,All Targets,RNA,Endogenous,1,1,30,6,5.337353777,1,1,92105
TRIP11,TRIP11,All Targets,RNA,Endogenous,1,1,70,20,16.28306074,1,1,9321
BCL7C,BCL7C,All Targets,RNA,Endogenous,1,3,181,29,27.12014296,1,1,9274
BCAR1,BCAR1,All Targets,RNA,Endogenous,1,1,180,12,13.78787579,1,1,9564
COG4,COG4,All Targets,RNA,Endogenous,1,1,80,21,16.44809409,1,1,25839
SPI1,SPI1,All Targets,RNA,Endogenous,1,3,251,21,19.35851482,1,1,6688
IFI16,IFI16,All Targets,RNA,Endogenous,1,1,245,34,30.18494322,1,1,3428
CASP14,CASP14,All Targets,RNA,Endogenous,1,1,23,7,5.230145663,1,1,23581
EN2,EN2,All Targets,RNA,Endogenous,1,1,30,6,5.677215513,1,1,2020
JMJD4,JMJD4,All Targets,RNA,Endogenous,1,1,38,8,5.705751949,1,1,65094
GALNT13,GALNT13,All Targets,RNA,Endogenous,1,1,25,6,5.313905005,1,1,114805
ARF4,ARF4,All Targets,RNA,Endogenous,1,1,110,25,22.99468675,1,1,378
FN1,FN1,All Targets,RNA,Endogenous,1,1,336,20,19.95978983,1,1,2335
LRP2BP,LRP2BP,All Targets,RNA,Endogenous,1,1,32,6,4.684122576,1,1,55805
SPRR2E,"SPRR2E,SPRR2C",All Targets,RNA,Endogenous,1,1,36,10,8.314688298,1,1,6704
FCHO1,FCHO1,All Targets,RNA,Endogenous,1,1,78,12,11.21925841,1,1,23149
MYO5A,MYO5A,All Targets,RNA,Endogenous,1,1,63,10,8.70958093,1,1,4644
ZNF572,ZNF572,All Targets,RNA,Endogenous,1,1,18,5,4.308832295,1,1,137209
ACTL6B,ACTL6B,All Targets,RNA,Endogenous,1,1,32,8,6.854300405,1,1,51412
WNK2,WNK2,All Targets,RNA,Endogenous,1,1,80,10,9.485755443,1,1,65268
H2AC12,H2AC12,All Targets,RNA,Endogenous,1,1,444,45,41.79498331,1,1,85235
OR4A47,OR4A47,All Targets,RNA,Endogenous,1,1,70,12,11.6110663,1,1,403253
NENF,NENF,All Targets,RNA,Endogenous,1,1,44,11,8.855142766,1,1,29937
TCL1A,TCL1A,All Targets,RNA,Endogenous,1,1,21,2,2.336240892,1,1,8115
ZMYND12,ZMYND12,All Targets,RNA,Endogenous,1,1,35,6,5.099352416,1,1,84217
TMEM251,TMEM251,All Targets,RNA,Endogenous,1,1,58,14,11.72256026,1,1,26175
ESR1,ESR1,All Targets,RNA,Endogenous,1,1,36,7,6.375819756,1,1,2099
IFT81,IFT81,All Targets,RNA,Endogenous,1,1,34,5,4.833398436,1,1,28981
TEX261,TEX261,All Targets,RNA,Endogenous,1,1,72,14,11.90083528,1,1,113419
SLC6A7,SLC6A7,All Targets,RNA,Endogenous,1,1,51,10,9.22369181,1,1,6534
NEURL1B,NEURL1B,All Targets,RNA,Endogenous,1,1,27,6,4.772991654,1,1,54492
OR52M1,OR52M1,All Targets,RNA,Endogenous,1,1,35,10,8.268649699,1,1,119772
CLPS,CLPS,All Targets,RNA,Endogenous,1,1,30,7,6.571441043,1,1,1208
DCTN5,DCTN5,All Targets,RNA,Endogenous,1,1,116,26,21.57196215,1,1,84516
CDC42EP4,CDC42EP4,All Targets,RNA,Endogenous,1,1,232,18,16.87949189,1,1,23580
EEF1G,EEF1G,All Targets,RNA,Endogenous,1,4,416,84,73.84161377,1,1,1937
GMPS,GMPS,All Targets,RNA,Endogenous,1,1,76,16,12.89183623,1,1,8833
CEP112,CEP112,All Targets,RNA,Endogenous,1,1,23,4,4.23670321,1,1,201134
C5orf34,C5orf34,All Targets,RNA,Endogenous,1,1,26,6,4.877556905,1,1,375444
ADGRL3,ADGRL3,All Targets,RNA,Endogenous,1,1,27,6,5.292204275,1,1,23284
PLEKHA3,PLEKHA3,All Targets,RNA,Endogenous,1,1,113,22,18.66350122,1,1,65977
GFAP,GFAP,All Targets,RNA,Endogenous,1,1,41,7,5.67866356,1,1,2670
MPZL2,MPZL2,All Targets,RNA,Endogenous,1,1,55,9,7.657651651,1,1,10205
POU2F2,POU2F2,All Targets,RNA,Endogenous,1,1,45,8,7.268095282,1,1,5452
ISOC2,ISOC2,All Targets,RNA,Endogenous,1,2,82,18,15.00138552,1,1,79763
AK2,AK2,All Targets,RNA,Endogenous,1,2,114,27,22.71897374,1,1,204
ADAM19,ADAM19,All Targets,RNA,Endogenous,1,1,261,19,20.75780436,1,1,8728
CTNS,CTNS,All Targets,RNA,Endogenous,1,1,62,9,9.244876984,1,1,1497
ILF3,ILF3,All Targets,RNA,Endogenous,1,1,203,38,30.83038225,1,1,3609
ZNF346,ZNF346,All Targets,RNA,Endogenous,1,4,674,88,77.70745441,1,1,23567
ANKRD66,ANKRD66,All Targets,RNA,Endogenous,1,1,40,7,6.37781997,1,1,100287718
ZNF114,ZNF114,All Targets,RNA,Endogenous,1,1,29,6,5.624761909,1,1,163071
RTN4R,RTN4R,All Targets,RNA,Endogenous,1,1,57,14,12.37446219,1,1,65078
MYCN,MYCN,All Targets,RNA,Endogenous,1,1,26,5,5.110054866,1,1,4613
FIS1,FIS1,All Targets,RNA,Endogenous,1,1,58,16,13.44028897,1,1,51024
IL7R,IL7R,All Targets,RNA,Endogenous,1,1,103,11,12.07466423,1,1,3575
TEKT4,TEKT4,All Targets,RNA,Endogenous,1,1,29,7,6.731179933,1,1,150483
ZNF615,ZNF615,All Targets,RNA,Endogenous,1,1,31,7,6.069371448,1,1,284370
PAOX,PAOX,All Targets,RNA,Endogenous,1,1,49,10,9.591125014,1,1,196743
NWD1,NWD1,All Targets,RNA,Endogenous,1,1,22,5,4.941583268,1,1,284434
CEMIP2,CEMIP2,All Targets,RNA,Endogenous,1,1,67,17,14.04914355,1,1,23670
FOXA2,FOXA2,All Targets,RNA,Endogenous,1,1,45,9,7.830448522,1,1,3170
IFNG,IFNG,All Targets,RNA,Endogenous,1,1,124,8,8.78316506,1,1,3458
ZNF597,ZNF597,All Targets,RNA,Endogenous,1,1,38,9,7.790809561,1,1,146434
KRTAP23-1,KRTAP23-1,All Targets,RNA,Endogenous,1,1,31,7,6.158621044,1,1,337963
CD27,CD27,All Targets,RNA,Endogenous,1,3,211,26,26.00490615,1,1,939
ZBTB24,ZBTB24,All Targets,RNA,Endogenous,1,1,80,15,12.96983701,1,1,9841
ELAPOR1,ELAPOR1,All Targets,RNA,Endogenous,1,1,38,7,6.153648274,1,1,57535
ZHX1,ZHX1,All Targets,RNA,Endogenous,1,1,30,6,5.011952847,1,1,11244
CCDC51,CCDC51,All Targets,RNA,Endogenous,1,1,49,13,10.98783994,1,1,79714
ADAM11,ADAM11,All Targets,RNA,Endogenous,1,1,37,9,7.648958602,1,1,4185
C22orf42,C22orf42,All Targets,RNA,Endogenous,1,1,16,4,3.898378856,1,1,150297
PNKP,PNKP,All Targets,RNA,Endogenous,1,1,26,7,6.052563597,1,1,11284
ARF1,ARF1,All Targets,RNA,Endogenous,1,1,186,40,33.64020936,1,1,375
CTSZ,CTSZ,All Targets,RNA,Endogenous,1,1,278,36,30.99436203,1,1,1522
ERH,ERH,All Targets,RNA,Endogenous,1,4,250,51,46.54663299,1,1,2079
RNASE7,RNASE7,All Targets,RNA,Endogenous,1,1,38,9,7.676616496,1,1,84659
SLC30A2,SLC30A2,All Targets,RNA,Endogenous,1,1,36,7,6.36419046,1,1,7780
OR2B3,OR2B3,All Targets,RNA,Endogenous,1,1,31,5,4.211026649,1,1,442184
FOXN3,FOXN3,All Targets,RNA,Endogenous,1,3,146,22,21.24106728,1,1,1112
LTB,LTB,All Targets,RNA,Endogenous,1,4,269,28,26.96191103,1,1,4050
ADSS1,ADSS1,All Targets,RNA,Endogenous,1,1,33,8,6.183917085,1,1,122622
RNF17,RNF17,All Targets,RNA,Endogenous,1,1,37,8,5.943272112,1,1,56163
DUSP13,DUSP13,All Targets,RNA,Endogenous,1,1,42,7,6.209996998,1,1,51207
EFR3B,EFR3B,All Targets,RNA,Endogenous,1,1,49,11,9.308239818,1,1,22979
TCF4,TCF4,All Targets,RNA,Endogenous,1,1,74,12,11.27732316,1,1,6925
ZNF134,ZNF134,All Targets,RNA,Endogenous,1,1,38,8,6.985952494,1,1,7693
MIOS,MIOS,All Targets,RNA,Endogenous,1,1,61,11,9.878515786,1,1,54468
STX7,STX7,All Targets,RNA,Endogenous,1,1,68,15,13.07313739,1,1,8417
DSEL,DSEL,All Targets,RNA,Endogenous,1,1,47,6,5.045867105,1,1,92126
SLC25A44,SLC25A44,All Targets,RNA,Endogenous,1,1,63,11,9.625941528,1,1,9673
SLC39A1,SLC39A1,All Targets,RNA,Endogenous,1,1,78,16,13.88076195,1,1,27173
C13orf42,C13orf42,All Targets,RNA,Endogenous,1,1,26,7,5.873194687,1,1,647166
FRMD1,FRMD1,All Targets,RNA,Endogenous,1,1,24,5,4.001990311,1,1,79981
UBXN7,UBXN7,All Targets,RNA,Endogenous,1,1,52,8,7.27444713,1,1,26043
IZUMO1R,IZUMO1R,All Targets,RNA,Endogenous,1,1,44,10,9.068921922,1,1,390243
TMEM267,TMEM267,All Targets,RNA,Endogenous,1,1,33,7,5.822819532,1,1,64417
TMEM132C,TMEM132C,All Targets,RNA,Endogenous,1,1,47,10,8.309445047,1,1,92293
CCDC34,CCDC34,All Targets,RNA,Endogenous,1,1,54,10,9.372604475,1,1,91057
CBWD2,"CBWD6,CBWD5,CBWD3,CBWD2,CBWD1",All Targets,RNA,Endogenous,1,2,176,46,40.03717664,1,1,150472
TUT7,TUT7,All Targets,RNA,Endogenous,1,1,69,17,12.49083309,1,1,79670
MYH6,MYH6,All Targets,RNA,Endogenous,1,1,26,5,4.941025255,1,1,4624
EVPL,EVPL,All Targets,RNA,Endogenous,1,1,30,10,7.293174085,1,1,2125
PSMB8,PSMB8,All Targets,RNA,Endogenous,1,1,346,48,39.18955066,1,1,5696
STAT5B,STAT5B,All Targets,RNA,Endogenous,1,3,126,18,17.9972445,1,1,6777
ARPC4,ARPC4,All Targets,RNA,Endogenous,1,3,369,42,43.06626977,1,1,10093
PLA2G2A,PLA2G2A,All Targets,RNA,Endogenous,1,1,51,13,11.13642944,1,1,5320
NEMF,NEMF,All Targets,RNA,Endogenous,1,1,81,17,14.7313274,1,1,9147
ANGPTL1,ANGPTL1,All Targets,RNA,Endogenous,1,1,24,5,4.21035258,1,1,9068
SFTPB,SFTPB,All Targets,RNA,Endogenous,1,1,26,6,5.187377417,1,1,6439
GPATCH1,GPATCH1,All Targets,RNA,Endogenous,1,1,36,11,8.417667948,1,1,55094
PAPSS2,PAPSS2,All Targets,RNA,Endogenous,1,1,21,6,4.97111342,1,1,9060
OR6X1,OR6X1,All Targets,RNA,Endogenous,1,1,34,6,5.360303728,1,1,390260
ZNF737,ZNF737,All Targets,RNA,Endogenous,1,1,41,10,9.117915234,1,1,100129842
CCDC112,CCDC112,All Targets,RNA,Endogenous,1,1,50,10,9.567160094,1,1,153733
LRCH3,LRCH3,All Targets,RNA,Endogenous,1,1,60,9,7.496688777,1,1,84859
RAB20,RAB20,All Targets,RNA,Endogenous,1,1,49,11,9.189638589,1,1,55647
FAM13C,FAM13C,All Targets,RNA,Endogenous,1,1,30,6,5.197900453,1,1,220965
ZNF860,ZNF860,All Targets,RNA,Endogenous,1,1,22,4,3.79412383,1,1,344787
RAB39A,RAB39A,All Targets,RNA,Endogenous,1,1,77,15,13.39407016,1,1,54734
MMD,MMD,All Targets,RNA,Endogenous,1,1,92,16,14.48834626,1,1,23531
C6orf141,C6orf141,All Targets,RNA,Endogenous,1,1,46,6,5.738407654,1,1,135398
HOXB13,HOXB13,All Targets,RNA,Endogenous,1,1,28,6,5.142042535,1,1,10481
ADCY7,ADCY7,All Targets,RNA,Endogenous,1,1,192,18,18.33550116,1,1,113
A2M,A2M,All Targets,RNA,Endogenous,1,1,27,5,4.379154519,1,1,2
PPRC1,PPRC1,All Targets,RNA,Endogenous,1,1,45,9,8.409794243,1,1,23082
TAL2,TAL2,All Targets,RNA,Endogenous,1,1,26,7,6.371277719,1,1,6887
CSAG3,"CSAG3,CSAG2",All Targets,RNA,Endogenous,1,1,46,8,7.371122628,1,1,389903
ZC3H14,ZC3H14,All Targets,RNA,Endogenous,1,1,92,18,16.29046667,1,1,79882
RPS4X,RPS4X,All Targets,RNA,Endogenous,1,15,982,160,147.7620046,1,1,6191
ZWILCH,ZWILCH,All Targets,RNA,Endogenous,1,1,49,12,10.90665202,1,1,55055
RAP1A,RAP1A,All Targets,RNA,Endogenous,1,3,314,37,37.95215414,1,1,5906
REXO1,REXO1,All Targets,RNA,Endogenous,1,1,108,24,21.76398169,1,1,57455
FOXK2,FOXK2,All Targets,RNA,Endogenous,1,1,44,10,9.033240422,1,1,3607
MFSD2B,MFSD2B,All Targets,RNA,Endogenous,1,1,19,5,4.087966223,1,1,388931
TMC7,TMC7,All Targets,RNA,Endogenous,1,1,21,5,4.004163627,1,1,79905
ID1,ID1,All Targets,RNA,Endogenous,1,1,253,13,13.36423678,1,1,3397
STARD6,STARD6,All Targets,RNA,Endogenous,1,1,20,5,4.091651071,1,1,147323
H2AC16,H2AC16,All Targets,RNA,Endogenous,1,1,382,28,28.23844458,1,1,8332
CD81,CD81,All Targets,RNA,Endogenous,1,1,157,44,26.36301678,1,1,975
SPDYE16,"SPDYE1,SPDYE16",All Targets,RNA,Endogenous,1,10,590,123,107.4843568,1,1,102723555
SFPQ,SFPQ,All Targets,RNA,Endogenous,1,4,452,66,63.13128313,1,1,6421
KISS1,KISS1,All Targets,RNA,Endogenous,1,1,39,6,6.000112126,1,1,3814
RPS6KA1,RPS6KA1,All Targets,RNA,Endogenous,1,1,148,18,16.26121172,1,1,6195
RPGRIP1L,RPGRIP1L,All Targets,RNA,Endogenous,1,1,31,8,6.580399996,1,1,23322
RUSF1,RUSF1,All Targets,RNA,Endogenous,1,1,53,13,10.99914085,1,1,64755
IFT46,IFT46,All Targets,RNA,Endogenous,1,1,38,7,5.958974583,1,1,56912
ALDH1A1,ALDH1A1,All Targets,RNA,Endogenous,1,1,137,11,11.00321785,1,1,216
F2R,F2R,All Targets,RNA,Endogenous,1,1,58,8,7.4508326,1,1,2149
SLC4A4,SLC4A4,All Targets,RNA,Endogenous,1,1,228,16,15.28713337,1,1,8671
ATPAF1,ATPAF1,All Targets,RNA,Endogenous,1,1,38,10,7.703915966,1,1,64756
FAM107B,FAM107B,All Targets,RNA,Endogenous,1,1,143,31,26.41549698,1,1,83641
SRP54,SRP54,All Targets,RNA,Endogenous,1,1,49,12,10.71324471,1,1,6729
SLC18A2,SLC18A2,All Targets,RNA,Endogenous,1,1,25,5,4.839863029,1,1,6571
BLVRB,BLVRB,All Targets,RNA,Endogenous,1,1,28,8,6.917957844,1,1,645
SERPINC1,SERPINC1,All Targets,RNA,Endogenous,1,1,45,7,5.801077784,1,1,462
MMP10,MMP10,All Targets,RNA,Endogenous,1,1,16,5,4.197721348,1,1,4319
OPCML,OPCML,All Targets,RNA,Endogenous,1,1,29,7,6.325117484,1,1,4978
SLC35F2,SLC35F2,All Targets,RNA,Endogenous,1,1,55,11,9.316513134,1,1,54733
WDR41,WDR41,All Targets,RNA,Endogenous,1,1,29,6,5.834978439,1,1,55255
BHLHB9,"BHLHB9,ARMCX5-GPRASP2",All Targets,RNA,Endogenous,1,1,27,5,5.053739726,1,1,80823
MAGEE1,MAGEE1,All Targets,RNA,Endogenous,1,1,36,6,5.8541413,1,1,57692
KIF21B,KIF21B,All Targets,RNA,Endogenous,1,1,41,8,7.378793637,1,1,23046
PRDM9,"PRDM7,PRDM9",All Targets,RNA,Endogenous,1,1,35,7,6.415760631,1,1,56979
IL21,IL21,All Targets,RNA,Endogenous,1,1,71,9,8.169760751,1,1,59067
ADAT2,ADAT2,All Targets,RNA,Endogenous,1,1,52,10,8.588545377,1,1,134637
C5orf22,C5orf22,All Targets,RNA,Endogenous,1,1,51,12,10.14400414,1,1,55322
GPR19,GPR19,All Targets,RNA,Endogenous,1,1,41,7,6.083142053,1,1,2842
CHSY3,CHSY3,All Targets,RNA,Endogenous,1,1,35,7,5.797190977,1,1,337876
HEATR5B,HEATR5B,All Targets,RNA,Endogenous,1,1,56,10,9.039185699,1,1,54497
SCAF8,SCAF8,All Targets,RNA,Endogenous,1,1,85,16,13.5222636,1,1,22828
OR4F15,OR4F15,All Targets,RNA,Endogenous,1,1,44,12,10.23144502,1,1,390649
SH3D21,SH3D21,All Targets,RNA,Endogenous,1,1,69,19,15.40600935,1,1,79729
LCE6A,LCE6A,All Targets,RNA,Endogenous,1,1,32,7,5.255485619,1,1,448835
ZFYVE26,ZFYVE26,All Targets,RNA,Endogenous,1,1,50,14,10.86452478,1,1,23503
UGT2A3,UGT2A3,All Targets,RNA,Endogenous,1,1,52,14,11.25471499,1,1,79799
TBKBP1,TBKBP1,All Targets,RNA,Endogenous,1,1,37,8,7.124549571,1,1,9755
NCF4,NCF4,All Targets,RNA,Endogenous,1,1,70,12,11.42203217,1,1,4689
MGAT4B,MGAT4B,All Targets,RNA,Endogenous,1,1,63,16,10.99545764,1,1,11282
FHIP1A,FHIP1A,All Targets,RNA,Endogenous,1,1,29,6,5.780618871,1,1,729830
PMEPA1,PMEPA1,All Targets,RNA,Endogenous,1,1,163,13,14.47981091,1,1,56937
TMEM229A,TMEM229A,All Targets,RNA,Endogenous,1,1,30,5,5.283635079,1,1,730130
CORIN,CORIN,All Targets,RNA,Endogenous,1,1,40,7,5.807902614,1,1,10699
DNAH2,DNAH2,All Targets,RNA,Endogenous,1,1,22,5,4.417370761,1,1,146754
SLC9A3,SLC9A3,All Targets,RNA,Endogenous,1,1,40,6,4.685891209,1,1,6550
DENND5B,DENND5B,All Targets,RNA,Endogenous,1,1,43,9,7.892371135,1,1,160518
POTEE,"POTEF,POTEE,POTEJ,POTEI",All Targets,RNA,Endogenous,1,1,53,11,9.598402539,1,1,445582
PRKCZ,PRKCZ,All Targets,RNA,Endogenous,1,1,55,12,10.4498385,1,1,5590
SCIN,SCIN,All Targets,RNA,Endogenous,1,1,40,9,7.004699015,1,1,85477
ARID4A,ARID4A,All Targets,RNA,Endogenous,1,1,49,10,8.256520217,1,1,5926
GFPT2,GFPT2,All Targets,RNA,Endogenous,1,1,23,5,4.759419539,1,1,9945
CC2D1A,CC2D1A,All Targets,RNA,Endogenous,1,1,41,10,7.829548109,1,1,54862
TRUB1,TRUB1,All Targets,RNA,Endogenous,1,1,40,10,8.202539673,1,1,142940
ECHDC3,ECHDC3,All Targets,RNA,Endogenous,1,1,33,8,6.757663461,1,1,79746
POFUT1,POFUT1,All Targets,RNA,Endogenous,1,1,60,11,9.766944413,1,1,23509
OR6K2,OR6K2,All Targets,RNA,Endogenous,1,1,42,10,8.133634158,1,1,81448
SF1,SF1,All Targets,RNA,Endogenous,1,2,186,37,31.18320696,1,1,7536
CCDC181,CCDC181,All Targets,RNA,Endogenous,1,1,37,9,7.869862004,1,1,57821
ZNF606,ZNF606,All Targets,RNA,Endogenous,1,1,26,7,5.843213797,1,1,80095
GPRC5B,GPRC5B,All Targets,RNA,Endogenous,1,1,146,9,8.401962633,1,1,51704
ODC1,ODC1,All Targets,RNA,Endogenous,1,1,53,12,9.63646779,1,1,4953
OR2D2,OR2D2,All Targets,RNA,Endogenous,1,1,33,6,5.609914745,1,1,120776
GEMIN7,GEMIN7,All Targets,RNA,Endogenous,1,1,96,23,19.68148188,1,1,79760
TEX13C,TEX13C,All Targets,RNA,Endogenous,1,1,27,5,4.413211977,1,1,100129520
MINDY3,MINDY3,All Targets,RNA,Endogenous,1,1,62,13,11.35305955,1,1,80013
ANKRD33B,ANKRD33B,All Targets,RNA,Endogenous,1,1,48,8,6.735200691,1,1,651746
EIF2AK3,EIF2AK3,All Targets,RNA,Endogenous,1,1,40,12,9.418766124,1,1,9451
MTERF2,MTERF2,All Targets,RNA,Endogenous,1,1,32,6,5.190952461,1,1,80298
ROPN1B,"ROPN1B,ROPN1",All Targets,RNA,Endogenous,1,1,31,7,6.324849392,1,1,152015
SLC26A6,SLC26A6,All Targets,RNA,Endogenous,1,1,79,14,12.30876337,1,1,65010
KCNK12,KCNK12,All Targets,RNA,Endogenous,1,1,49,10,8.035284048,1,1,56660
NFASC,NFASC,All Targets,RNA,Endogenous,1,1,53,8,7.207329,1,1,23114
ZNF611,ZNF611,All Targets,RNA,Endogenous,1,1,48,10,8.820355463,1,1,81856
TAS2R10,TAS2R10,All Targets,RNA,Endogenous,1,1,35,9,7.223561765,1,1,50839
CASP6,CASP6,All Targets,RNA,Endogenous,1,1,50,13,9.916438897,1,1,839
NID2,NID2,All Targets,RNA,Endogenous,1,1,30,7,5.506434097,1,1,22795
YEATS2,YEATS2,All Targets,RNA,Endogenous,1,1,58,12,10.24562465,1,1,55689
MAN1C1,MAN1C1,All Targets,RNA,Endogenous,1,1,25,4,4.081853661,1,1,57134
MGST1,MGST1,All Targets,RNA,Endogenous,1,1,170,7,8.788439009,1,1,4257
SLC25A13,SLC25A13,All Targets,RNA,Endogenous,1,1,30,8,6.646081003,1,1,10165
SHMT2,SHMT2,All Targets,RNA,Endogenous,1,1,64,13,11.68027303,1,1,6472
DMTF1,DMTF1,All Targets,RNA,Endogenous,1,1,73,13,11.33556096,1,1,9988
KRTAP13-2,KRTAP13-2,All Targets,RNA,Endogenous,1,1,28,6,4.58714436,1,1,337959
PPP3R2,PPP3R2,All Targets,RNA,Endogenous,1,1,29,5,4.232287619,1,1,5535
CDH2,CDH2,All Targets,RNA,Endogenous,1,1,68,8,6.999232926,1,1,1000
FANK1,FANK1,All Targets,RNA,Endogenous,1,1,57,8,7.304704475,1,1,92565
NOTO,NOTO,All Targets,RNA,Endogenous,1,1,36,7,5.89809071,1,1,344022
NKX2-8,NKX2-8,All Targets,RNA,Endogenous,1,1,24,6,4.230945636,1,1,26257
MAMLD1,MAMLD1,All Targets,RNA,Endogenous,1,1,39,8,6.602019659,1,1,10046
OFD1,OFD1,All Targets,RNA,Endogenous,1,1,76,20,16.86236571,1,1,8481
FAAP24,FAAP24,All Targets,RNA,Endogenous,1,1,41,9,6.99400261,1,1,91442
DGKH,DGKH,All Targets,RNA,Endogenous,1,1,71,15,11.77153046,1,1,160851
OR1E1,"OR1E2,OR1E1",All Targets,RNA,Endogenous,1,1,116,22,20.56442395,1,1,8387
ANLN,ANLN,All Targets,RNA,Endogenous,1,1,52,12,10.50308479,1,1,54443
PTPRA,PTPRA,All Targets,RNA,Endogenous,1,1,88,17,14.77360235,1,1,5786
PRDM12,PRDM12,All Targets,RNA,Endogenous,1,1,44,9,8.094737722,1,1,59335
CELF2,CELF2,All Targets,RNA,Endogenous,1,1,169,12,13.68748893,1,1,10659
SNAP25,SNAP25,All Targets,RNA,Endogenous,1,1,23,6,4.715477007,1,1,6616
